startdate,eventid,domainid,siteid,plotid,subplotid,nestedsubplotid,tagid,individualid,vstid,pointid,stemdistance,stemazimuth,supportingstemtagid,previouslytaggedas,taxonid,identificationqualifier,remarks,measuredby,recordedby
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,1,00061,NEON.PLA.D07.MLBS.00061,,61,23.5,230.6,NA,,QURU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,1,00062,NEON.PLA.D07.MLBS.00062,,61,23.9,234.5,NA,,ACRU,cf. species,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,1,00063,NEON.PLA.D07.MLBS.00063,VST.MLBS.00063.2015,,,,,,NYSY,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,1,00064,NEON.PLA.D07.MLBS.00064,VST.MLBS.00064.2015,,,,,,KALA,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,1,00065,NEON.PLA.D07.MLBS.00065,,61,20.9,231.1,NA,,QUAL,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,1,00066,NEON.PLA.D07.MLBS.00066,,61,19.1,226.3,NA,,NYSY,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,1,00067,NEON.PLA.D07.MLBS.00067,,61,17.5,215.7,NA,,ACRU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,1,00067A,NEON.PLA.D07.MLBS.00067A,,61,17.5,215.7,NA,,ACRU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,1,00068,NEON.PLA.D07.MLBS.00068,,61,21.8,221.2,NA,,QUAL,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,1,00069,NEON.PLA.D07.MLBS.00069,,,,,,,AMLA,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,2,00070,NEON.PLA.D07.MLBS.00070,,61,17.1,201.7,NA,,ACRU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,2,00070A,NEON.PLA.D07.MLBS.00070A,,61,17.1,201.7,NA,,ACRU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,2,00070B,NEON.PLA.D07.MLBS.00070B,,61,17.1,201.7,NA,,ACRU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,2,00071,NEON.PLA.D07.MLBS.00071,,61,20.6,198.4,NA,,QURU,cf. species,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,2,00072,NEON.PLA.D07.MLBS.00072,,61,16.4,184.9,NA,,ACRU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,2,00073,NEON.PLA.D07.MLBS.00073,,61,19.5,181.4,NA,,QURU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,2,00073A,NEON.PLA.D07.MLBS.00073A,,61,19.5,181.4,NA,,QURU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,2,00073B,NEON.PLA.D07.MLBS.00073B,,61,19.5,181.4,NA,,QURU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,2,00073C,NEON.PLA.D07.MLBS.00073C,,61,19.5,181.4,NA,,QURU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,2,00074,NEON.PLA.D07.MLBS.00074,,61,14.1,183.6,NA,,QURU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,2,00075,NEON.PLA.D07.MLBS.00075,,61,14,191.4,NA,,QURU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,2,00076,NEON.PLA.D07.MLBS.00076,,61,12.4,191,NA,,QUAL,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,2,00077,NEON.PLA.D07.MLBS.00077,,61,10.1,180.2,NA,,QUAL,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,3,00078,NEON.PLA.D07.MLBS.00078,VST.MLBS.00078.2015,61,15.3,239.1,,,QUAL,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,3,00078A,NEON.PLA.D07.MLBS.00078A,VST.MLBS.00078A.2015,61,15.3,239.1,,,QUAL,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,3,00079,NEON.PLA.D07.MLBS.00079,,61,9.8,265.2,NA,,QURU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,3,00079A,NEON.PLA.D07.MLBS.00079A,,61,9.8,265.2,NA,,QURU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,3,00080,NEON.PLA.D07.MLBS.00080,VST.MLBS.00080.2015,61,18.5,237.6,,,QUAL,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,3,00081,NEON.PLA.D07.MLBS.00081,,61,15.9,263.3,NA,,QUAL,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,3,00082,NEON.PLA.D07.MLBS.00082,,61,18.5,267.8,NA,,NYSY,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,3,00083,NEON.PLA.D07.MLBS.00083,,61,18.5,248.4,NA,,ACRU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,4,00084,NEON.PLA.D07.MLBS.00084,,61,11.8,235,NA,,QUAL,cf. species,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,4,00085,NEON.PLA.D07.MLBS.00085,,,,,,,ILMO,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,4,00086,NEON.PLA.D07.MLBS.00086,,61,7.7,242.7,NA,,QURU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,4,00087,NEON.PLA.D07.MLBS.00087,,61,4.9,249.9,NA,,QUAL,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,4,00088,NEON.PLA.D07.MLBS.00088,,61,4.4,223.2,NA,,ACRU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,4,00089,NEON.PLA.D07.MLBS.00089,,,,,,,ILMO,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,4,00090,NEON.PLA.D07.MLBS.00090,,61,6.1,210.6,NA,,ACRU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,4,00091,NEON.PLA.D07.MLBS.00091,,61,8.4,213.7,NA,,ACRU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,4,00092,NEON.PLA.D07.MLBS.00092,VST.MLBS.00092.2015,61,9.6,187.8,,,QUAL,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,4,00093,NEON.PLA.D07.MLBS.00093,,61,9.2,197.7,NA,,ACRU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,4,00094,NEON.PLA.D07.MLBS.00094,,61,11,211.5,NA,,ACRU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,4,00095,NEON.PLA.D07.MLBS.00095,,61,10.8,215.5,NA,,QURU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,3,00096,NEON.PLA.D07.MLBS.00096,,61,14.3,256.4,NA,,MAAC,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,3,00096A,NEON.PLA.D07.MLBS.00096A,,61,14.3,256.4,NA,,MAAC,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_061,23,2,00097,NEON.PLA.D07.MLBS.00097,,,,,,,KALA,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_061,23,2,00098,NEON.PLA.D07.MLBS.00098,,,,,,,HAVI4,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_061,23,2,00099,NEON.PLA.D07.MLBS.00099,,43,17.8,192.9,NA,,ROPS,cf. species,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_061,23,2,00100,NEON.PLA.D07.MLBS.00100,,43,19.1,196.9,NA,,ACRU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_061,23,2,00100A,NEON.PLA.D07.MLBS.00100A,,43,19.1,196.9,NA,,ACRU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_061,23,2,00100B,NEON.PLA.D07.MLBS.00100B,,43,19.1,196.9,NA,,ACRU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_061,23,2,00100C,NEON.PLA.D07.MLBS.00100C,,43,19.1,196.9,NA,,ACRU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_061,23,2,00101,NEON.PLA.D07.MLBS.00101,,,,,,,KALA,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_061,23,2,00102,NEON.PLA.D07.MLBS.00102,,,,,,,ILMO,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_061,23,2,00103,NEON.PLA.D07.MLBS.00103,VST.MLBS.00103.2015,43,14,205.2,,,NYSY,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_061,23,2,00104,NEON.PLA.D07.MLBS.00104,,43,12.9,205.7,NA,,NYSY,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_061,23,2,00105,NEON.PLA.D07.MLBS.00105,,,,,,,HAVI4,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_061,23,2,00106,NEON.PLA.D07.MLBS.00106,,,,,,,HAVI4,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_061,23,2,00107,NEON.PLA.D07.MLBS.00107,,43,15.7,185.2,NA,,QUAL,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_061,23,2,00108,NEON.PLA.D07.MLBS.00108,,,,,,,NYSY,,,cjuneau@field-ops.org,mcumberland@field-ops.org
